batch_capture_time,batch_capture_time_readable,precise_capture_time,precise_capture_time_readable,cat,found_link,content_type,description,caption,message,sharing_account_handle,sharing_account_id,sharing_account_follower_count,statistics_view_count,created_time,searched_site,searched_link,message_id,platform,capture_type,group_name,sharing_account_statuses_count,statistics_favourite_count,statistics_retweet_count,statistics_like_count,statistics_love_count,statistics_comment_count,statistics_haha_count,statistics_sad_count,statistics_share_count,statistics_thankful_count,statistics_wow_count,statistics_angry_count,statistics_dislike_count,postUrl,page,api_qtype
2020-06-01 16:46:36.947760+00:00,2020-06-01 17:46:36.947760,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.youtube.com/watch?v=dDpJ5FtG6Ac&feature=share,link,A security camera captured the altercation between Fullerton police officers and Kelly Thomas in Fullerton. This is the full video of the confrontation. Warn...,"Full, unedited Kelly Thomas confrontation video (35 min.)","https://www.youtube.com/watch?v=dDpJ5FtG6Ac&feature=share

#Perspective

No mass rioting, looting or burning on the scale of Minnesota after this happened?


Ramos put on latex gloves and then put his fists in Thomas’s face, saying, ""see these fists?...They're getting ready to ---- you up."" For nine minutes and 40 seconds, the six officers pummeled Thomas to the ground, with Ramos delivering volleys of punches and beating Thomas with his baton and Cicinelli tasing the homeless man twice in the face. 

In parts of the footage that particularly incited public anger, Thomas repeatedly cries out for his father to help him, as well as screams again and again “I’m sorry” and “please, I can’t breathe.”",TommyRobinsonNews,1479163323,35909,7954,1590860403.0,bbc.co.uk,bbc.co.uk,7440,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947854+00:00,2020-06-01 17:46:36.947854,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.tr.news/exclusive-teaser-the-barrow-report-coming-soon/,link,Barrow-In-Furness is an unassuming Victorian coastal town in the north-west of England. What dark secrets has it been hiding? Exclusive Teaser- The Barrow Report - Coming Soon!,Exclusive Teaser- The Barrow Report - Coming Soon,https://www.tr.news/exclusive-teaser-the-barrow-report-coming-soon/,TommyRobinsonNews,1479163323,35909,8060,1590841873.0,bbc.co.uk,bbc.co.uk,7439,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947951+00:00,2020-06-01 17:46:36.947951,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://mobile.twitter.com/WhiteHouse/status/1266367168603721728,link,"This Tweet violated the Twitter Rules about glorifying violence. However, @Twitter has determined that it will allow terrorists, dictators, and foreign propagandists to abuse its platform.",The White House,"https://mobile.twitter.com/WhiteHouse/status/1266367168603721728

Twitter in turmoil. Happy to fact check and censor the president of the United States. Meanwhile glorifying terrorism and jihad is perfectly fine. Looks like Jack Dorsey needs to get his shit together. 🤦🏼‍♂️",TommyRobinsonNews,1479163323,35909,8655,1590774823.0,bbc.co.uk,bbc.co.uk,7431,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948048+00:00,2020-06-01 17:46:36.948048,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://abcnews.go.com/US/wireStory/usaid-adviser-sparks-furor-past-anti-islam-comments-70949303,link,Muslim American groups and the Anti-Defamation League are decrying the U.S. Agency for International Development’s hiring of a religious freedom adviser who has reportedly made past anti-Islam comments,New USAID adviser sparks furor over past anti-Islam comments,https://abcnews.go.com/US/wireStory/usaid-adviser-sparks-furor-past-anti-islam-comments-70949303,TommyRobinsonNews,1479163323,35909,8389,1590773555.0,bbc.co.uk,bbc.co.uk,7430,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948143+00:00,2020-06-01 17:46:36.948143,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://greekcitytimes.com/2020/05/29/islamic-prayers-to-be-held-at-hagia-sophia-to-commemorate-the-fall-of-constantinople/,link,"Turkish President Recep Tayyip Erdoğan said on Thursday in a statement published on state-run Anadolu news agency, that Islamic prayers and recitals will be",Islamic prayers to be held at Hagia Sophia to commemorate the Fall of Constantinople,"https://greekcitytimes.com/2020/05/29/islamic-prayers-to-be-held-at-hagia-sophia-to-commemorate-the-fall-of-constantinople/

Turkish President Recep Tayyip Erdoğan said on Thursday in a statement published on state-run Anadolu news agency, that Islamic prayers and recitals will be held at Hagia Sophia today to commemorate the Fall of Constantinople as part of celebrations organised by the Ministry of Culture and Tourism.",TommyRobinsonNews,1479163323,35909,9118,1590746152.0,bbc.co.uk,bbc.co.uk,7429,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948239+00:00,2020-06-01 17:46:36.948239,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.dailymail.co.uk/news/article-8365721/Ofcom-receives-247-complaints-Emily-Maitlis-impartial-rant-Dominic-Cummings.html,link,The BBC is claimed to have had thousands of complaints about Ms Maitlis (pictured in London today) from Newsnight viewers but the corporation is refusing to release any figures.,Now who should be sacked? BBC 'receives EIGHTEEN THOUSAND complaints' over Emily Maitlis rant about Dominic Cummings as presenter breaks cover with her husband,"https://www.dailymail.co.uk/news/article-8365721/Ofcom-receives-247-complaints-Emily-Maitlis-impartial-rant-Dominic-Cummings.html

#StandWithCummings 😂

Ofcom today revealed that Emily Maitlis' Newsnight monologue about Dominic Cummings and the 'blind loyalty' of his boss Boris Johnson has sparked 247 complaints - but the BBC may have had thousands more, it was revealed today.

The BBC is claimed to have had ten times as many complaints from viewers than the UK's broadcasting regulator but is refusing to release any figures for up to a fortnight.",TommyRobinsonNews,1479163323,35909,9254,1590695989.0,bbc.co.uk,bbc.co.uk,7427,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948332+00:00,2020-06-01 17:46:36.948332,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.mirror.co.uk/news/uk-news/muslim-dad-beats-burns-daughter-22098363,link,"WARNING:GRAPHIC IMAGES - Rehema Kyomuhendo, 24, reportedly decided yo convert after listening to Christian radio programmes while isolating in her aunt's house in east Uganda with her Muslim sheikh dad",Muslim dad 'beats and burns daughter for converting to Christianity from Islam',"https://www.mirror.co.uk/news/uk-news/muslim-dad-beats-burns-daughter-22098363

Absolutely disgusting. Poor girl!

A Muslim man allegedly beat and severely burned his daughter because he feared she was converting to Christianity, a religious watchdog claims.

She claimed he began ""beating me up with blows, slaps and kicks"", while a source close to Rehema told the publication he then reportedly lit fuel from a jerrican and burned her.",TommyRobinsonNews,1479163323,35909,9904,1590668062.0,bbc.co.uk,bbc.co.uk,7426,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948426+00:00,2020-06-01 17:46:36.948426,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.tr.news/cardi-b-justifies-looting-in-minnesota/,link,"Rapper and performer, Belcalis Marlenis Almanzar, otherwise known as Cardi B, justifies looting and rioting in Minnesota.",Cardi B justifies looting in Minnesota,"George Floyd was murdered by a bad police officer that has to be charged, tried and jailed. 

But that’s no justification for looting. 

 And this idiot should be held to account for encouraging otherwise.


SHARE: https://www.tr.news/cardi-b-justifies-looting-in-minnesota/",TommyRobinsonNews,1479163323,35909,9500,1590651095.0,bbc.co.uk,bbc.co.uk,7425,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948521+00:00,2020-06-01 17:46:36.948521,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.reuters.com/article/us-twitter-trump-executive-order-social/trumps-executive-order-targets-political-bias-at-twitter-and-facebook-draft-idUSKBN2340MW?feedType=mktg&feedName=technologyNews&WT.mc_id=Partner-Google,link,"WASHINGTON (Reuters) - President Donald Trump said he will introduce legislation that may scrap or weaken a law that has protected internet companies, including Twitter and Facebook, in an extraordinary attempt to intervene in the media.",Trump move could scrap or weaken law that protects social media companies,"https://www.reuters.com/article/us-twitter-trump-executive-order-social/trumps-executive-order-targets-political-bias-at-twitter-and-facebook-draft-idUSKBN2340MW?feedType=mktg&feedName=technologyNews&WT.mc_id=Partner-Google

Go Trump!",TommyRobinsonNews,1479163323,35909,9076,1590650736.0,bbc.co.uk,bbc.co.uk,7424,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948615+00:00,2020-06-01 17:46:36.948615,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.tr.news/hong-kong-protest-yesterday/,link,"WATCH: Yesterday, a new wave of protests ignited on the streets of Hong Kong.",This is what REALLY happened yesterday in Hong Kong,"They're using COVID-19 as an excuse to outlaw protests. 

Hong Kong has well and truly beat COVID-19 with a mere total of 1067 cases and only four deaths since the first case back in January.

China is now using THEIR virus to take control of Hong Kong.

WATCH & SHARE! https://www.tr.news/hong-kong-protest-yesterday/

The last protester quoted Winston Churchill for inspiration. ❤️❤️",TommyRobinsonNews,1479163323,35909,9152,1590648079.0,bbc.co.uk,bbc.co.uk,7423,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948710+00:00,2020-06-01 17:46:36.948710,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.dailymail.co.uk/femail/article-8362503/Colombian-transgender-model-shares-sweet-snap-kissing-HUSBANDS-eight-month-baby-bump.html,link,"Colombian model Danna Sultana, who was born male and identifies as female, is expecting a baby with her husband Esteban Landrau, who was born a woman but identifies as a man.",Colombian transgender model whose husband was born a woman and is carrying their baby shares sweet snap of her kissing his bump at eight months pregnant,https://www.dailymail.co.uk/femail/article-8362503/Colombian-transgender-model-shares-sweet-snap-kissing-HUSBANDS-eight-month-baby-bump.html     A Colombian transgender model has posted a heartwarming photo of her kissing her husband's eight-month baby bump. A husband who is pregnant? Since when in the evolutionary process did men grow uteruses?,TommyRobinsonNews,1479163323,35909,9298,1590613099.0,bbc.co.uk,bbc.co.uk,7421,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.948883+00:00,2020-06-01 17:46:36.948883,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://5pillarsuk.com/2020/05/27/uks-first-hijab-wearing-muslim-judge-appointed/,link,The Lord Chief Justice has appointed Raffia Arshad – thought to be the first hijab-wearing Muslim judge in a Western country – as a Deputy District Judge on the Midland Circuit. Arshad is a member of St. Mary’s Family Law Chambers in Nottingham. She was called to the Bar in 2002 and has practiced family […],UK's first hijab-wearing Muslim judge appointed – 5Pillars,"https://5pillarsuk.com/2020/05/27/uks-first-hijab-wearing-muslim-judge-appointed/ I'm sure she does great work, we will see a higher proportion of convictions for FGM, more convictions for imposition of sharia over British Law and more wronguns put away for forced marriage's and child sexual exploitation.  Meanwhile here's a suggestion - #WearTheWig like all judges are supposed to.",TommyRobinsonNews,1479163323,35909,9491,1590598527.0,bbc.co.uk,bbc.co.uk,7420,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.949104+00:00,2020-06-01 17:46:36.949104,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.tr.news/taiwan-support-hong-kong/,link,"Taiwan has committed to support Hong Kong in its continued protests against Chinese tyranny, saying it would offer ""necessary assistance"".",Taiwan promises to SUPPORT the Hong Kong people,"Taiwan has committed to supporting Hong Kong in its continued protests against Chinese tyranny, saying it would offer “necessary assistance” following the latest clashes.

The world stands with Taiwan and Hong Kong.

WE ARE WATCHING YOU, CHINA.

SHARE: https://www.tr.news/taiwan-support-hong-kong/",TommyRobinsonNews,1479163323,35909,9980,1590576442.0,bbc.co.uk,bbc.co.uk,7418,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.949306+00:00,2020-06-01 17:46:36.949306,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.derbyshirealert.co.uk/da/323473/Man_appears_at_court_in_connection_with_an_alleged_stabbing_and_a_burglary_at_a_Gurdwara.html,link,"A man has appeared at court in connection with an alleged stabbing and a burglary at a Gurdwara.    Mohammed Ibrar (31), of Cromwell Road, Derby, has been charged with wounding with intent and burglary. He appeared before Southern Derbyshire Magistra",Man appears at court in connection with an alleged stabbing and a burglary at a Gurdwara,"https://www.derbyshirealert.co.uk/da/323473/Man_appears_at_court_in_connection_with_an_alleged_stabbing_and_a_burglary_at_a_Gurdwara.html

A man has appeared at court in connection with an alleged stabbing and a burglary at a Gurdwara.

Mohammed Ibrar (31), of Cromwell Road, Derby, has been charged with wounding with intent and burglary. He appeared before Southern Derbyshire Magistrates’ Court this morning and was remanded into prison custody.

Anyone seen this on the news? Imagine if a white geezer went to a Gudwara and did this? Would it make the news then?",TommyRobinsonNews,1479163323,35909,10108,1590571282.0,bbc.co.uk,bbc.co.uk,7417,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.949412+00:00,2020-06-01 17:46:36.949412,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://3speak.online/watch?v=tommyrobinson/oipqtxyd,link,Police stop Tommy and his crew of professional journalists working on a story in Barrow!,Unbelievable Police harassment of Tommy: where are your papers to be a Journalist?,https://3speak.online/watch?v=tommyrobinson/oipqtxyd,TommyRobinsonNews,1479163323,35909,11138,1590431329.0,bbc.co.uk,bbc.co.uk,7408,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.949504+00:00,2020-06-01 17:46:36.949504,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.pscp.tv/w/cZfsmjFyYWpab2xSTlBNRXp8MXlvS01hd3pyb05LUQX7zQJ14c-z1aHKcJXWu4pna-G9HjXDOT7jtQrTsJ8k?t=1m25s,link,Tune in to our live feed Wed 7:30pm exposure of deep state Brainwashing,richard @RbinmanRichard,"https://www.pscp.tv/w/cZfsmjFyYWpab2xSTlBNRXp8MXlvS01hd3pyb05LUQX7zQJ14c-z1aHKcJXWu4pna-G9HjXDOT7jtQrTsJ8k?t=1m25s

Worth watching!",TommyRobinsonNews,1479163323,35909,10668,1590429528.0,bbc.co.uk,bbc.co.uk,7406,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
